Reference number,AWB,Company,Store,Recipient Name,Company Payment Type,Delivering City,Delivering Area,Shipment Details,Zones,Cash on Delivery,Returned With Fees,Exp Delivery Fees,Shipment Status,Creation Date,Distribution Center Date,AssignTo Courier Date,Acctual Delivering Date,COD Collection Date,Company Settlement Date
1747t,24040458000784,mango perfume,mango perfume,.,Pay After Delivery,Amman,البيادر,100مل بيربيري هير,RTN,19,,1.75,Item Returned To Company Completed,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 8:50:04 AM,,,4/21/2024 12:11:20 PM
1748t,24040458000785,mango perfume,mango perfume,.,Pay After Delivery,Karak,الكرك,100مل سي الحمرا,S - K,17,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:32:26 AM,4/20/2024 5:55:09 PM,4/20/2024 10:11:51 PM,4/21/2024 12:11:20 PM
1749t,24040458000786,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,علبتين 100مل دنهل ايكون ايليت,,0,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 2:24:52 PM,4/20/2024 6:50:57 PM,4/20/2024 9:56:57 PM,4/21/2024 12:11:20 PM
17410t,24040458000787,mango perfume,mango perfume,.,Pay After Delivery,Amman,الشميساني,100مل غوتشي اند غابانا انتينسو,C 3,0,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/21/2024 10:35:50 AM,4/21/2024 5:21:04 PM,4/21/2024 6:29:43 PM,4/22/2024 10:21:57 AM
17411t,24040458000788,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء,100مل بفلغاري مان ان بلاك,Z - 1,19,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 10:01:51 AM,4/20/2024 1:13:59 PM,4/21/2024 12:41:20 AM,4/21/2024 12:11:20 PM
17412t,24040458000789,mango perfume,mango perfume,.,Pay After Delivery,Amman,ضاحية النخيل,100مل//ماي واي / الترا ميل رجالي/ذا ون غوتشي اند غابانا نسائي,O,40,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:23:06 AM,4/20/2024 5:15:52 PM,4/20/2024 6:15:50 PM,4/21/2024 12:11:20 PM
17413t,24040458000790,mango perfume,mango perfume,.,Pay After Delivery,Amman,القسطل,100مل عبوتين برادا سبورت ,N,27,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:52:48 AM,4/20/2024 11:11:09 AM,4/20/2024 9:02:40 PM,4/21/2024 12:11:20 PM
1741F,24040458000791,mango perfume,mango perfume,.,Pay After Delivery,Amman,الخزنة,لانوت تريزو ١٠٠/اول اوف مي ميرسيو ١٠٠,H,27,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/22/2024 9:41:01 AM,4/22/2024 7:22:42 PM,4/22/2024 8:37:21 PM,4/23/2024 10:22:11 AM
1742F,24040458000792,mango perfume,mango perfume,.,Pay After Delivery,Amman,شارع المدينة المنورة,جوتشي بلوم ١٠٠/مس ديور ٥٠/كوكو مدموزيل ٥٠,G,35,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:10:22 AM,4/20/2024 10:39:51 AM,4/20/2024 6:33:34 PM,4/21/2024 12:11:20 PM
1743F,24040458000793,mango perfume,mango perfume,.,Pay After Delivery,Amman,سحاب,نيرسيسو مسك١٠٠/ ماي واي١٠٠/سي احمر٥٠,D 1,30,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:10:53 AM,4/20/2024 6:31:30 PM,4/20/2024 10:52:53 PM,4/21/2024 12:11:20 PM
1744F,24040458000794,mango perfume,mango perfume,.,Pay After Delivery,Irbid,دوار القبة,جوتشي عود ٥٠/ دي مارلي سلفر ٥٠/ انجل شير ٥٠ مل عدد ٢,,32,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 3:57:20 PM,4/20/2024 4:10:58 PM,4/20/2024 9:05:59 PM,4/21/2024 12:11:20 PM
1745F,24040458000795,mango perfume,mango perfume,.,Pay After Delivery,Amman,صافوط,بلو شانيل ١٠٠,I,0,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 11:15:51 AM,4/20/2024 5:45:01 PM,4/20/2024 10:51:06 PM,4/21/2024 12:11:20 PM
1747F,24040458000797,mango perfume,mango perfume,.,Pay After Delivery,Jarash,جرش,سوفاج١٠٠/ الترا ميل١٠٠/هديه,N-J,27,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 1:48:02 PM,4/20/2024 9:03:23 PM,4/21/2024 12:11:11 AM,4/21/2024 12:11:20 PM
1748F,24040458000798,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء,ليبر ١٠٠/ ايروس١٠٠,Z - 1,27,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:46:30 AM,4/20/2024 12:57:32 PM,4/21/2024 12:58:29 AM,4/21/2024 12:11:20 PM
1749F,24040458000799,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,يو ١٠٠/بلو شانيل ١٠٠,H,27,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 9:21:40 AM,4/20/2024 4:31:56 PM,4/20/2024 10:44:46 PM,4/21/2024 12:11:20 PM
17410F,24040458000800,mango perfume,mango perfume,.,Pay After Delivery,Amman,خريبة السوق,انفكتوس الاسود ٥٠,D 1,12,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 8:35:57 AM,4/20/2024 11:04:37 AM,4/20/2024 9:27:06 PM,4/21/2024 12:11:20 PM
17411F,24040458000801,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,جبل رحمة,دبونت٥٠,Z - 1,10,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:14 AM,4/20/2024 10:01:51 AM,4/20/2024 11:17:36 AM,4/21/2024 12:41:20 AM,4/21/2024 12:11:20 PM
17412F,24040458000802,mango perfume,mango perfume,.,Pay After Delivery,Amman,جاوا,دارج١٠٠,D 1,17,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:15 AM,4/20/2024 8:35:57 AM,4/20/2024 2:56:18 PM,4/20/2024 9:27:06 PM,4/21/2024 12:11:20 PM
17413F,24040458000803,mango perfume,mango perfume,.,Pay After Delivery,Amman,ماركا الشمالية,فاملني١٠٠,C 1,1,,1.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:15 AM,4/20/2024 9:36:37 AM,4/20/2024 2:37:09 PM,4/20/2024 11:00:53 PM,4/21/2024 12:11:20 PM
17414F,24040458000804,mango perfume,mango perfume,.,Pay After Delivery,Salt,السلط,مس ديور ١٠٠/ مايكل جيكوب١٠٠,M,0,,2.75,Cod Collected,4/20/2024 3:38:49 AM,4/20/2024 4:55:15 AM,4/20/2024 10:15:36 AM,4/20/2024 12:41:13 PM,4/20/2024 6:11:31 PM,4/21/2024 12:11:20 PM
0421,24040458000806,mango perfume,mango perfume,,Pay After Delivery,Irbid,اربد,,,27,,2.75,Cod Collected,4/20/2024 6:01:42 AM,4/20/2024 7:00:18 AM,4/20/2024 2:24:52 PM,4/20/2024 7:04:17 PM,4/20/2024 9:56:57 PM,4/21/2024 12:11:20 PM
R1745F,24040458000807,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/20/2024 7:30:37 PM,4/20/2024 7:30:50 PM,4/20/2024 7:31:44 PM,,,
r1746t,24040458000808,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/20/2024 8:40:39 PM,4/20/2024 8:40:53 PM,4/20/2024 8:41:20 PM,,,
r1744t,24040458000809,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/20/2024 8:58:17 PM,4/20/2024 8:58:50 PM,4/20/2024 8:59:27 PM,,,
r1749t,24040458000810,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/20/2024 9:01:30 PM,4/20/2024 9:01:56 PM,4/20/2024 9:02:17 PM,,,
R00016523,24040458000811,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/21/2024 2:01:05 AM,4/21/2024 2:01:48 AM,,,,
R17414F,24040458000812,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/21/2024 2:15:57 AM,4/21/2024 2:17:11 AM,,,,
1941F,24040458000813,mango perfume,mango perfume,.,Pay After Delivery,Jarash,جرش,بولو الاخضر ١٠٠/ يو انتنسلي١٠٠,N-J,27,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 1:31:48 PM,4/21/2024 3:49:43 PM,4/21/2024 10:52:55 PM,4/22/2024 10:21:57 AM
1942F,24040458000814,mango perfume,mango perfume,.,Pay After Delivery,Irbid,الحصن,رجالي ع زوقك ١٠٠ مل عدد ٢+ ٥٠ مل,Q 1,0,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 1:11:30 PM,4/21/2024 5:46:15 PM,4/21/2024 11:18:49 PM,4/22/2024 10:21:57 AM
1943F,24040458000815,mango perfume,mango perfume,.,Pay After Delivery,Russeifa,الجبل الشمالي,سبايس بومب ١٠٠ مل عدد٢,RTN,23,,1.75,Item Returned To Company Completed,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 9:49:58 AM,,,
1944F,24040458000816,mango perfume,mango perfume,.,Pay After Delivery,Rumtha,الرمثا,كريد الاسود ١٠٠,Q 7,1,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 12:41:20 PM,4/21/2024 3:00:49 PM,4/21/2024 7:58:35 PM,4/22/2024 10:21:57 AM
1945F,24040458000817,mango perfume,mango perfume,.,Pay After Delivery,Aqaba,العقبة,ديور هوم انتنس١٠٠,RTN,19,,1.75,Item Returned To Company Completed,4/21/2024 5:36:58 AM,4/21/2024 8:50:40 AM,4/21/2024 9:28:28 AM,,,
1946F,24040458000818,mango perfume,mango perfume,.,Pay After Delivery,Russeifa,الرصيفة,رجالي صيفي ع زوقك ١٠٠ مب عدد ٣,R,40,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 9:50:13 AM,4/21/2024 2:09:38 PM,4/22/2024 12:14:07 AM,4/22/2024 10:21:57 AM
1947F,24040458000819,mango perfume,mango perfume,.,Pay After Delivery,Irbid,الحي الشرقي,لافي بيل ١٠٠/ميد نايت روز ١٠٠/لافي بيل ٥٠ مل عدد ٢/ ميد نايت روز ٥٠,Q 9,0,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 2:07:31 PM,4/21/2024 8:32:52 PM,4/21/2024 11:38:58 PM,4/22/2024 10:21:57 AM
1948F,24040458000820,mango perfume,mango perfume,.,Pay After Delivery,Amman,دوار الواحة,بلو شانيل ١٠٠,RTN,1,,1.5,Item Returned To Company Completed,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 9:41:29 AM,,,
1949F,24040458000821,mango perfume,mango perfume,.,Pay After Delivery,Amman,جبل الزهور,مونت بلانك ليجند ١٠٠/سوفاج ١٠٠/بومب شيل ٥٠,P,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 10:35:10 AM,4/21/2024 1:55:44 PM,4/21/2024 8:29:06 PM,4/22/2024 10:21:57 AM
19410F,24040458000822,mango perfume,mango perfume,.,Pay After Delivery,Amman,الجاردنز,ون مليون ١٠٠/دولتشي كنغ ١٠٠/ الترا ميل ١٠٠,RTN,40,,1.5,Item Returned To Company Completed,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 9:32:52 AM,,,
19411F,24040458000823,mango perfume,mango perfume,.,Pay After Delivery,Amman,دير غبار,جوتشي فلورا ١٠٠/ هايبونتك بويزن ١٠٠,K,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:19 AM,4/21/2024 9:38:38 AM,4/21/2024 6:25:29 PM,4/21/2024 8:18:42 PM,4/22/2024 10:21:57 AM
19412F,24040458000824,mango perfume,mango perfume,.,Pay After Delivery,Irbid,بني كنانة,قوتشي فلورا ١٠٠/ارماني برايف الاحضر ١٠٠/بيربري هير ٥٠,,30,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/22/2024 2:02:01 PM,4/22/2024 8:42:56 PM,4/22/2024 11:04:42 PM,4/23/2024 10:22:11 AM
19413F,24040458000825,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,جبل طارق,كوكو مدموزيل ١٠٠,Z - 1,19,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:56:03 AM,4/21/2024 12:01:18 PM,4/22/2024 12:05:10 AM,4/22/2024 10:21:57 AM
19414F,24040458000826,mango perfume,mango perfume,.,Pay After Delivery,Jarash,جرش,لافي بيل ١٠٠ / بومب شيل ١٠٠,N-J,27,,1.75,Item Returned To Company Completed,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 1:18:10 PM,,,
19415F,24040458000827,mango perfume,mango perfume,.,Pay After Delivery,Irbid,دوار صحارى,بلو شانيل ١٠٠/ديور هوم ١٠٠,Q 8,27,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 1:36:10 PM,4/21/2024 3:33:08 PM,4/21/2024 9:56:43 PM,4/22/2024 10:21:57 AM
19416F,24040458000828,mango perfume,mango perfume,.,Pay After Delivery,Irbid,ايدون,جوتشي فلورا ١٠٠,Q 1,19,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 2:07:31 PM,4/21/2024 3:46:52 PM,4/21/2024 11:38:58 PM,4/22/2024 10:21:57 AM
19417F,24040458000829,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء الجديدة,سكاندل ١٠٠/بومب شيل ١٠٠,Z - 1,27,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 2:53:54 PM,4/21/2024 3:26:22 PM,4/22/2024 12:05:10 AM,4/22/2024 10:21:57 AM
19418F,24040458000830,mango perfume,mango perfume,.,Pay After Delivery,Amman,صافوط,كول وانر ١٠٠/ اكوا جيو سلفر ١٠٠/الور سبورت اكستريم ١٠٠,I,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:55:10 AM,4/21/2024 6:56:23 PM,4/21/2024 10:22:17 PM,4/22/2024 10:21:57 AM
19419F,24040458000831,mango perfume,mango perfume,.,Pay After Delivery,Wadi Musa,وادي موسى,بلاك اكس اس ١٠٠,S - M,1,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:43:25 AM,4/21/2024 9:05:21 PM,4/22/2024 3:17:03 AM,4/22/2024 10:21:57 AM
19420F,24040458000832,mango perfume,mango perfume,.,Pay After Delivery,Irbid, مجمع عمان ,سي كيه بي ١٠٠,Q 8,0,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 2:07:31 PM,4/21/2024 7:25:38 PM,4/21/2024 11:38:58 PM,4/22/2024 10:21:57 AM
19421F,24040458000833,mango perfume,mango perfume,.,Pay After Delivery,Amman,الجويدة,سوفاج ١٠٠/دولتشي لايت بلو ١٠٠/ارماني كود ١٠٠/ جادور ١٠٠,D 1,50,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:45:43 AM,4/21/2024 11:31:35 AM,4/21/2024 7:05:14 PM,4/22/2024 10:21:57 AM
19422F,24040458000834,mango perfume,mango perfume,.,Pay After Delivery,Amman,الكمالية,ايفوريا رجالي الابيض ١٠٠/ الي صعب ١٠٠,I,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:26:01 AM,4/21/2024 12:40:22 PM,4/21/2024 11:01:07 PM,4/22/2024 10:21:57 AM
19423F,24040458000835,mango perfume,mango perfume,.,Pay After Delivery,Amman,اليادودة,يو انتنسلي١٠٠/فرزاتشي برايت كريستال١٠٠,D 1,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/22/2024 9:36:33 AM,4/22/2024 8:42:19 PM,4/22/2024 9:51:07 PM,4/23/2024 10:22:11 AM
19424F,24040458000836,mango perfume,mango perfume,.,Pay After Delivery,Amman,المقابلين,روبورتو كفالي ستاتي ١٠٠/ دونا ١٠٠,P,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 3:22:17 PM,4/21/2024 3:29:11 PM,4/21/2024 8:29:06 PM,4/22/2024 10:21:57 AM
19425F,24040458000837,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,بكرات روج ١٠٠,F,0,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:19:23 AM,4/21/2024 4:53:46 PM,4/21/2024 9:31:38 PM,4/22/2024 10:21:57 AM
19426F,24040458000838,mango perfume,mango perfume,.,Pay After Delivery,Amman,الرابية,الترا ميل ١٠٠/فرزاتشي ايروس ١٠٠/يو ١٠٠,K,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:38:38 AM,4/21/2024 3:36:25 PM,4/21/2024 8:18:42 PM,4/22/2024 10:21:57 AM
19427F,24040458000839,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,شارع السعادة,ايروس ١٠٠/هشيفات ١٠٠/ريد توباكو ١٠٠/ جوتشي بلوم ١٠٠,Z - 1,50,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:57:11 AM,4/21/2024 3:37:10 PM,4/21/2024 11:31:18 PM,4/22/2024 10:21:57 AM
19428F,24040458000840,mango perfume,mango perfume,.,Pay After Delivery,Amman,الاستقلال,هاج سنت ١٠٠/فرزاتشي ايروس١٠٠/ بلو شانيل ٥٠,F,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 5:07:04 PM,4/21/2024 5:07:08 PM,4/21/2024 9:31:38 PM,4/22/2024 10:21:57 AM
19429F,24040458000841,mango perfume,mango perfume,.,Pay After Delivery,Amman,الشميساني,سترونج وذ يو ١٠٠ عدد٢/دنهل ريد ٥٠,C 3,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 5:20:23 PM,4/21/2024 5:22:09 PM,4/21/2024 6:29:43 PM,4/22/2024 10:21:57 AM
19430F,24040458000842,mango perfume,mango perfume,.,Pay After Delivery,Amman,تلاع العلي,بولو ريد ١٠٠/يو انتنسلي١٠٠/بلاك اوركيد ٥٠,G,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:32:52 AM,4/21/2024 1:27:58 PM,4/21/2024 7:44:05 PM,4/22/2024 10:21:57 AM
18431F,24040458000843,mango perfume,mango perfume,.,Pay After Delivery,Amman,جبل التاج,نوبيلز ١٠٠/ يو انتنس١٠٠/ايروس١٠٠,C 2,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 8:50:40 AM,4/21/2024 10:05:28 AM,4/21/2024 6:43:13 PM,4/21/2024 7:10:45 PM,4/22/2024 10:21:57 AM
19432F,24040458000844,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,هوقو بوس١٠٠/بلاك افغانو ١٠٠,,27,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 8:50:40 AM,4/21/2024 2:11:15 PM,4/21/2024 9:31:29 PM,4/21/2024 11:38:58 PM,4/22/2024 10:21:57 AM
19433F,24040458000845,mango perfume,mango perfume,.,Pay After Delivery,Amman,جبل الحسين,تري هيرمز ١٠٠,C 3,19,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/22/2024 9:10:41 AM,4/22/2024 5:27:44 PM,4/22/2024 7:13:28 PM,4/23/2024 10:22:11 AM
19434F,24040458000846,mango perfume,mango perfume,.,Pay After Delivery,Amman,القويسمة,برادا لونا روز اكستريم ١٠٠,C 2,0,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/22/2024 10:00:14 AM,4/22/2024 4:03:36 PM,4/22/2024 8:31:35 PM,4/23/2024 10:22:11 AM
19435F,24040458000847,mango perfume,mango perfume,.,Pay After Delivery,Amman,ام نوارة,سي احمر ١٠٠/ لافي بيل ١٠٠/ ليبر ٥٠,C 1,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:55:14 AM,4/21/2024 7:04:53 PM,4/21/2024 8:14:58 PM,4/22/2024 10:21:57 AM
19436F,24040458000848,mango perfume,mango perfume,.,Pay After Delivery,Amman,البيادر,ايماجنيشن ١٠٠/ الترا ميل ١٠٠,E,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:25:08 AM,4/21/2024 6:50:18 PM,4/21/2024 8:34:52 PM,4/22/2024 10:21:57 AM
19437F,24040458000849,mango perfume,mango perfume,.,Pay After Delivery,Amman,ضاحية الحج حسن,لا ميل الاسود ١٠٠/سوفاج الكسير١٠٠,P,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:35:10 AM,4/21/2024 1:50:51 PM,4/21/2024 8:29:06 PM,4/22/2024 10:21:57 AM
1941t,24040458000850,mango perfume,mango perfume,.,Pay After Delivery,Amman,صويلح,100مل // الترا ميل / سوفاج / هوجو يوس,I,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:55:09 AM,4/21/2024 8:53:39 PM,4/21/2024 10:22:17 PM,4/22/2024 10:21:57 AM
1942t,24040458000851,mango perfume,mango perfume,.,Pay After Delivery,Amman,ابو علندا,100مل //بلو شانيل عدد 2/ 50مل 212 /50مل يو /100مل بلاك لكسز,C 2,57,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 8:50:40 AM,4/21/2024 10:12:29 AM,4/21/2024 11:18:39 AM,4/21/2024 9:15:30 PM,4/22/2024 10:21:57 AM
1943t,24040458000852,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,100مل/ لاكوست وايت /100مل بلاك اكس اس/50مل يو,H,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:29:50 AM,4/21/2024 2:13:09 PM,4/21/2024 9:57:04 PM,4/22/2024 10:21:57 AM
1944t,24040458000853,mango perfume,mango perfume,.,Pay After Delivery,Amman,شارع الجامعة,100مل // ليبرا / ميسزز ديور/ شانيل تندر,G,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:32:52 AM,4/21/2024 3:35:10 PM,4/21/2024 7:44:05 PM,4/22/2024 10:21:57 AM
1946t,24040458000855,mango perfume,mango perfume,.,Pay After Delivery,Irbid,ارابيلا,100مل//دولتشي اند غابانا ذا ون / يو/ فيرزاتشي ايروس/ فيكتوريس,,50,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 2:07:31 PM,4/21/2024 7:04:54 PM,4/21/2024 11:38:58 PM,4/22/2024 10:21:57 AM
1967t,24040458000856,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,100مل/ سوفاج/ 100مل لاكوست وايت/ 50مل نيشاني هاشيفان,H,32,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/22/2024 9:41:01 AM,4/22/2024 12:29:59 PM,4/22/2024 8:37:21 PM,4/23/2024 10:22:11 AM
1949t,24040458000858,mango perfume,mango perfume,.,Pay After Delivery,Amman,شارع الإذاعة والتلفزيون,100مل شانيل مدموزيل,P,19,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:35:10 AM,4/21/2024 1:24:50 PM,4/21/2024 8:29:06 PM,4/22/2024 10:21:57 AM
19410t,24040458000859,mango perfume,mango perfume,.,Pay After Delivery,Amman,الرابية,100مل // بوس بوتلد/ارماني كود,K,25,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:38:38 AM,4/21/2024 5:06:48 PM,4/21/2024 8:18:42 PM,4/22/2024 10:21:57 AM
19411t,24040458000860,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,100مل سوفاج/ بولغاري ,H,27,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:29:50 AM,4/21/2024 2:15:40 PM,4/21/2024 9:57:04 PM,4/22/2024 10:21:57 AM
19412t,24040458000861,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء,100مل شانيل مادموزيل,Z - 1,8,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 9:56:03 AM,4/21/2024 12:04:04 PM,4/22/2024 12:05:10 AM,4/22/2024 10:21:57 AM
19413t,24040458000862,mango perfume,mango perfume,.,Pay After Delivery,Amman,البيادر,100مل // سوفاج / كريد افينيوس / بلاك افغانو,E,40,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:25:08 AM,4/21/2024 6:53:07 PM,4/21/2024 8:34:52 PM,4/22/2024 10:21:57 AM
19414t,24040458000863,mango perfume,mango perfume,.,Pay After Delivery,Mafraq,حوشا,100مل فلانتينو نسائي,N - B,19,,2.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/23/2024 12:33:03 PM,4/23/2024 4:57:50 PM,4/23/2024 9:21:52 PM,4/24/2024 11:06:16 AM
19415t,24040458000864,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,100مل // اكوا جيو / الترا ميل / الترا ميل الكسير /كريد افينيوس,H,50,,1.75,Cod Collected,4/21/2024 5:36:58 AM,4/21/2024 7:02:20 AM,4/21/2024 10:29:50 AM,4/21/2024 9:06:43 PM,4/21/2024 9:57:04 PM,4/22/2024 10:21:57 AM
19416t,24040458000865,mango perfume,mango perfume,.,Pay After Delivery,Irbid,ضاحية الحسين,100مل // ريد افينيوس/ كارتير ديكلاريشن,,25,,2.75,Cod Collected,4/21/2024 5:36:59 AM,4/21/2024 7:02:20 AM,4/21/2024 1:36:10 PM,4/21/2024 9:23:47 PM,4/21/2024 9:56:43 PM,4/22/2024 10:21:57 AM
